Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,8,0025-0477-0624,608,462,32,30,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,9,0025-0448-0556,546,434,20,28,25,N,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,10,0025-0391-0479,464,378,30,26,25,N,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,11,0025-0688-0539,520,670,38,36,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,12,0025-0899-0752,730,882,44,34,25,N,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,13,0025-0884-0879,860,866,38,36,25,B,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,14,0025-0829-0981,964,810,34,38,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,15,0025-0423-1134,1118,404,32,38,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,16,0025-0738-0993,974,726,38,24,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,17,0025-0621-0348,334,606,28,30,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,18,0025-0911-0229,216,902,26,18,25,N,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,19,0025-0969-0255,240,954,30,30,25,N,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,20,0025-1078-0355,342,1062,26,32,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,21,0025-1157-0321,306,1136,30,42,25,N,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,22,0025-1146-0697,680,1134,34,24,25,B,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,23,0025-1127-0761,744,1108,34,38,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,24,0025-1012-0472,454,992,36,40,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,25,0025-0624-1092,1078,600,28,48,25,B,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,26,0025-0718-1188,1170,708,36,20,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,27,0025-0796-1219,1204,778,30,36,25,N,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,28,0025-0786-1293,1284,774,18,24,25,F,1,,,,,,,
ROI__Seq01_18.00s.tif.csv,Seq01,18.00s,29,0025-0583-1372,1358,564,28,38,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,0,0025-0444-0681,666,430,30,28,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,1,0025-0467-0816,802,454,28,26,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,2,0025-0505-0690,674,494,32,22,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,3,0025-0558-0665,654,546,22,24,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,4,0025-0666-0590,574,654,32,24,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,5,0025-0669-0717,704,652,26,34,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,6,0025-0771-0739,728,760,22,22,25,F,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,7,0025-0789-0616,604,776,24,26,25,B,1,,,,,,,
ROI__Seq01_4.50s.tif.csv,Seq01,4.50s,8,0025-0857-0614,600,842,28,30,25,F,1,,,,,,,
