Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,1,0451-0395,380,438,30,26,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,2,0447-0269,256,432,26,30,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,3,0468-0577,564,458,26,20,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,4,0517-0435,424,504,22,26,0,A,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,5,0506-0623,610,498,26,16,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,6,0385-0796,782,370,28,30,0,F,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,7,0614-0415,408,606,14,16,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,8,0634-0402,396,626,12,16,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,9,0707-0311,302,692,18,30,0,A,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,10,0770-0411,398,756,26,28,0,A,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,11,0921-0415,400,906,30,30,0,F,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,12,0694-0760,750,682,20,24,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,13,0783-0707,694,768,26,30,0,F,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,14,0823-0710,700,812,20,22,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,15,1049-0774,762,1032,24,34,0,A,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,16,0835-0910,892,820,36,30,0,F,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,17,0932-0943,928,920,30,24,0,B,1,,,
ROI_20240703_191751_706_Seq00_42.75s.tif.csv,Seq00,42.75s,18,0653-0891,878,640,26,26,0,A,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,0,0393-0548,534,382,28,22,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,1,0381-0189,176,372,26,18,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,2,0563-0091,60,546,62,34,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,3,0339-0714,702,326,24,26,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,4,0295-0753,736,278,34,34,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,5,0707-0316,298,694,36,26,0,A,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,6,0779-0184,168,772,32,14,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,7,0849-0139,126,840,26,18,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,8,1000-0507,492,990,30,20,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,9,0815-0745,734,804,22,22,0,B,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,10,1048-0777,764,1032,26,32,0,A,1,,,
ROI_20240703_191751_706_Seq00_57.00s.tif.csv,Seq00,57.00s,11,0760-0838,824,750,28,20,0,A,1,,,
