LABEL,TRACK_INDEX,TRACK_ID,DIVISION_TIME_MEAN,DIVISION_TIME_STD,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Mean cell division time,Std cell division time,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,Mean div. time,Std div. time,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,(sec),(sec),,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_1289,7,7,NaN,NaN,9,0,0,0,0,0,0.32073599100112915,0.08018399775028229,0.40091998875141144,13.867106345135559,28.460347139113814,57.603588120828135,0.0,55.09255586604325,67.91307787536816,35.25208442120736,56.36186800172866,10.470337122195293,0.9600000116560194,17.67016550248045,13.867106345135559,0.784775125235186,43.23526742930057,0.784775125235186,7.192113384484709
Track_1290,8,8,NaN,NaN,22,0,0,0,0,0,0.841931976377964,0.280643992125988,1.122575968503952,20.33041639114802,50.202370757723656,42.1009803146215,0.0,56.12030367830358,71.43288942616938,10.324783028272273,60.32590273661356,14.137802367995844,0.9136363647200845,47.24947819080566,26.07631058198238,0.4302781145867584,24.14733845673679,0.43027811458675846,12.507861915596708
Track_1291,9,9,NaN,NaN,10,0,0,0,0,0,0.3608279898762703,0.280643992125988,0.6414719820022583,17.168258411717478,36.91407096254811,29.446598893257896,0.0,63.11675144806905,106.60769932109726,28.040431566257794,68.49073757978479,25.67198143370756,0.8029999911785126,22.774290552526928,18.562583262570612,0.7538438298273388,47.5801736378726,0.7538438298273387,12.855632578040558
Track_1292,10,10,NaN,NaN,3,0,0,0,0,0,0.08018399775028229,0.08018399775028229,0.16036799550056458,5.341427349794777,60.022333681944566,27.395903253024198,0.0,67.6414988478401,72.25390627381468,63.029091421865516,72.25390627381468,6.52292913700363,0.7433333595593771,5.423765791440932,5.341427349794777,0.9848189533227835,66.61463009651415,0.9848189533227835,8.723917522935139
Track_1293,11,11,NaN,NaN,3,0,0,0,0,0,0.08018399775028229,0.4410119876265526,0.5211959853768349,4.291031370669343,60.21356502293049,40.47036565292451,0.0,53.7554263519617,79.45774466029732,28.053108043626082,79.45774466029732,36.34856713607854,0.7566666603088379,4.310324985671162,4.291031370669343,0.9955238607144572,53.51480957625658,0.9955238607144572,5.378460412961057
Track_1294,12,12,NaN,NaN,4,0,0,0,0,0,0.12027599662542343,0.6414719820022583,0.7617479786276817,0.6916595818532874,0.7885101713151481,56.2445221094394,0.0,33.95892881567049,44.20364233603755,28.69110627353074,28.98203783744318,8.87337459084839,0.9300000071525574,4.084444007636578,2.3078364993582188,0.16933995926008769,5.750603622161858,0.16933995926008766,38.77927557900837
Track_1295,13,13,NaN,NaN,104,0,0,0,0,0,4.129475884139538,0.4811039865016937,4.6105798706412315,2.5874872757494733,58.2606807832478,29.325456948742634,0.0,4.548804789715301,55.10182142053969,0.0,2.202153177907319,7.374515137127236,0.9996153849821824,18.784179680787755,4.360161412678124,0.13774821790040295,0.6265897533600999,0.13774821790040295,37.1012991962114
Track_1296,14,14,NaN,NaN,4,0,0,0,0,0,0.12027599662542343,1.122575968503952,1.2428519651293755,8.20538808913813,56.66395629993267,43.12177615260066,0.0,68.32506542197602,86.90440828377537,50.72506272486581,67.3457252572869,18.10954421393253,0.8124999850988388,8.217865338125423,8.20538808913813,0.9984816922066847,68.22132694266705,0.9984816922066846,2.7309115285690577
Track_1297,15,15,NaN,NaN,8,0,0,0,0,0,0.280643992125988,1.0824839696288109,1.363127961754799,1.836480098253961,42.85947141927876,45.906664238439845,0.0,10.94054513992663,14.15016209488768,8.473484752943593,10.684699034458838,1.7979161775409502,0.9950000047683716,3.070398264103586,1.836480098253961,0.5981243930875294,6.543806921865336,0.5981243930875295,10.771564422753174
Track_1298,16,16,NaN,NaN,6,0,0,0,0,0,0.20045999437570572,1.2829439640045166,1.4834039583802223,12.42021995354822,13.333246469141125,7.062633965264194,0.0,62.92795390634479,74.06543294868617,55.22108338351163,63.34261727155806,7.180002453474341,0.94500000278155,12.614537286140544,12.42021995354822,0.984595762160391,61.958596737611494,0.9845957621603909,5.111612015811549
Track_1299,17,17,NaN,NaN,5,0,0,0,0,0,0.16036799550056458,1.2428519651293755,1.40321996062994,7.9548118950900175,56.14481898366224,8.011118673341013,0.0,62.39462937983861,97.41232818240096,29.020051176421795,79.5056343521348,31.541535667509443,0.7919999957084656,10.006101643645351,8.723084948727777,0.7949961112119962,49.60348771748546,0.7949961112119961,21.10540873974575
Track_1300,18,18,NaN,NaN,4,0,0,0,0,0,0.12027599662542343,1.40321996062994,1.5234959572553635,2.9193986885371217,51.635363099883854,1.2853436080076612,0.0,47.875031754730486,65.44183946130389,36.222942045792834,41.960313757094745,15.481405242684101,0.8200000077486038,5.758217157774004,2.9193986885371217,0.5069969764158209,24.272496345459768,0.5069969764158209,71.09860105040124
Track_1301,19,19,NaN,NaN,2,0,0,0,0,0,0.040091998875141144,1.4834039583802223,1.5234959572553635,1.8510880440781574,46.76431333312942,13.829605401450639,0.0,46.17100907946787,46.17100907946787,46.17100907946787,46.17100907946787,NaN,0.6200000047683716,1.8510880440781574,1.8510880440781574,1.0,46.17100907946787,1.0,NaN
Track_1302,20,20,NaN,NaN,3,0,0,0,0,0,0.08018399775028229,1.5234959572553635,1.6036799550056458,4.267247822104487,50.57903565318264,12.127055676826103,0.0,53.454354039642254,60.180412153131925,46.728295926152576,60.180412153131925,9.512082605406693,0.7700000007947286,4.286183804057467,4.267247822104487,0.9955820882121167,53.21819741881683,0.9955820882121167,4.728590352984438
Track_1303,21,21,NaN,NaN,16,0,0,0,0,0,0.6013799831271172,1.6036799550056458,2.205059938132763,9.672883041863226,54.65757717472377,13.315729044024541,0.0,45.45223201488251,73.36028689173786,10.418874607178479,50.1797181599733,16.33585921984107,0.8881250023841858,27.334062522199858,9.672883041863226,0.35387652435517836,16.08447788961179,0.3538765243551784,8.014621912220809
Track_1304,22,22,NaN,NaN,4,0,0,0,0,0,0.12027599662542343,1.7239559516310692,1.8442319482564926,7.413064057361478,46.792361182271,41.836476685421,0.0,62.053601613607285,68.2608217651431,51.57123867246374,66.32874440321501,9.129248619438151,0.8200000077486038,7.463558778273599,7.413064057361478,0.9932344981245258,61.633777855510495,0.9932344981245258,3.952912657701911
Track_1305,23,23,NaN,NaN,10,1,0,0,0,2,0.4410119876265526,1.683863952755928,2.1248759403824806,7.835659173526873,43.86374136540778,44.37764423407724,0.0,50.06805900278212,68.9171181583754,22.005698730317498,53.413729084503025,15.857760870306022,0.8569999992847442,20.30411028198405,8.720848597448988,0.38591492386049026,17.767451664289183,0.3548659967685566,13.777330150146609
Track_1306,24,24,NaN,NaN,9,0,0,0,0,0,0.32073599100112915,1.924415946006775,2.245151937007904,9.215409304467276,5.52082960125493,5.5696978844277245,0.0,41.838025098049314,53.74859852080037,29.171590849762847,44.06239117540692,8.153511769983858,0.8988888992203606,13.41896044135296,9.215409304467276,0.6867453961685677,28.73207112087035,0.6867453961685677,8.34726635928301
Track_1307,25,25,NaN,NaN,2,0,0,0,0,0,0.040091998875141144,1.924415946006775,1.964507944881916,1.020245124514947,6.622814881042972,1.3990370510274106,0.0,25.447599349992633,25.447599349992633,25.447599349992633,25.447599349992633,NaN,0.6450000107288361,1.020245124514947,1.020245124514947,1.0,25.447599349992633,1.0,NaN
Track_1308,26,26,NaN,NaN,4,0,0,0,0,0,0.12027599662542343,2.3253359347581863,2.4456119313836098,6.716410330199316,13.02927497457777,3.435603245713227,0.0,56.22580901012503,61.825941240010046,51.50362418609965,55.347861604265404,5.216862186789497,0.9075000137090683,6.7626152147635015,6.716410330199316,0.9931676011281382,55.84165185607474,0.9931676011281383,3.12666147790052
Track_1309,27,27,NaN,NaN,2,0,0,0,0,0,0.040091998875141144,2.3654279336333275,2.4055199325084686,1.7150802646399288,59.3626323963457,7.4670347496512015,0.0,42.778616999896116,42.778616999896116,42.778616999896116,42.778616999896116,NaN,0.8549999892711639,1.7150802646399288,1.7150802646399288,1.0,42.778616999896116,1.0,NaN
Track_1310,28,28,NaN,NaN,9,0,0,0,0,0,0.32073599100112915,2.4456119313836098,2.766347922384739,15.559216787139105,42.945557072284835,12.399320020356093,0.0,60.80622787238573,94.39572076755732,44.34688615819167,60.14761703023936,14.850026487924671,0.8299999899334378,19.502745755690118,15.559216787139105,0.7977962171095602,48.51097857329123,0.7977962171095601,6.17211299012853
Track_1311,29,29,NaN,NaN,26,3,0,0,0,2,1.1626679673790932,2.525795929133892,3.6884638965129852,3.038938292733364,26.363361171834146,0.3359125783671924,0.0,7.285973778124015,85.4150916220503,1.2212619672241096,4.26912651506849,16.382424938655554,0.9107692310443292,7.792121528376894,3.038938292733364,0.39000139842099946,2.6137628093287826,0.35873898107848684,37.760706474110464
Track_1312,30,30,NaN,NaN,12,0,0,0,0,0,0.4410119876265526,2.726255923509598,3.1672679111361504,7.921501757417849,37.82487021603333,49.91788966661855,0.0,45.28328699738688,82.08891576186149,7.144839612346155,48.68526913957199,20.360458072858876,0.8941666583220164,19.970472404981212,12.222017969073066,0.39666070971070255,17.96210075841691,0.39666070971070255,13.390613575254406
