exposure_time,Field,Well,video_index,ROI_index,bug_index,frame,escape_type,notes,last_switch,on_hole_start,on_hole_end,outside_frame,outside_I,outside_x,outside_y,outside_major,outside_minor,outside_angle,inside_frame,inside_I,inside_x,inside_y,inside_major,inside_minor,inside_angle,hole_I,hole_x,hole_y,capsule_inner_I,capsule_inner_x,capsule_inner_y,capsule_inner_d
80,I18_entry,I18,18,4,5,64,b,,63,64,65,66,34966.775,157,170.002,10.093,10.093,0,63,30335.239,137.451,133.955,15.791,11.127,133.041,26569.308,152.171,153.108,31064.013,120.955,128.988,71.898
80,I18_entry,I18,20,2,m,440,b,,436,437,438,/,,,,,,,,,,,,,,,,,,,,
80,I18_entry,I18,20,3,3,313,b,,,,,,,,,,,,,,,,,,,,,,,,,
80,I18_entry,I18,20,4,6,202,b,,192,200,202,203,30227.965,149.004,159.981,13.831,7.917,124.938,199,32404.357,115.484,103.026,11.931,8.964,98.308,29385.875,122.038,123.179,31112.322,87.619,104.518,69.053
80,I18_entry,I18,20,5,3,504,b,,501,503,504,/,,,,,,,,,,,,,,,,,,,,
80,I18_entry,I18,20,10,1,673,b,,662,671,675,676,31735.97,37.999,168.992,16.325,7.799,52.392,670,33423.654,74.986,123.015,21.872,13.971,32.858,32119.163,47.764,137.366,32065.621,65.799,106.545,66.956
80,I18_entry,I18,22,2,7,143,f_c,,118,143,144,146,32938.128,26.531,43.012,21.792,9.115,145.825,142,32170.112,99.579,82.996,15.861,6.422,4.095,35926.062,80.068,83.038,31714.885,81.218,97.029,66.143
80,I18_entry,I18,23,10,2,341,b,,334,339,346,346,36745.705,47.139,129.976,16.023,6.198,1.197,338,34468.448,77.01,123.997,11.855,6.229,177.313,30097.519,60.931,123.883,31979.26,89.651,100.47,66.956
80,I18_entry,I18,27,2,8,268,b,,248,268,269,271,32083.642,132.009,39.083,18.143,7.65,76.596,267,31731.786,102.997,103.983,12.143,5.872,76.973,39813.986,105.485,81.444,31282.458,91.992,96.12,64.109
80,I18_entry,I18,27,5,7,13,b,,/,9,13,/,,,,,,,,,,,,,,,,,,,,
80,I19_entry,I19,1,2,1,567,b,"flagella still on hole, then switch to backward",/,/,,/,,,,,,,,,,,,,,,,,,,,
80,I19_entry,I19,1,5,m,436,b,,/,/,,/,,,,,,,,,,,,,,,,,,,,
80,I19_entry,I19,1,5,m,582,b,,/,/,,/,,,,,,,,,,,,,,,,,,,,
80,I19_entry,I19,1,6,1,313,b,,/,/,,/,,,,,,,,,,,,,,,,,,,,
80,20240313_220642_144,J20,0,2,1,377,b,,376,377,379,380,28492.692,100.03,178.973,8.137,8.137,0,376,23280.08,84.995,125.999,22.047,7.97,96.14,23168.474,93.465,155.551,22883.481,79.087,131.95,71.898
80,20240313_220642_144,J20,0,2,1,554,b,,551,554,556,557,23791.54,47.983,191.995,16.325,7.799,37.608,553,23371.336,80.058,148.073,18.174,8.127,149.144,23165.062,101.53,163.615,22850.356,85.024,142.024,71.898
80,20240313_220642_144,J20,4,1,4,573,b,,568,573,574,575,23092.75,107.116,49.924,8.137,8.137,0,573,23201.482,70.501,66.931,14.079,5.064,85.79,22747.404,72.978,48.117,22598.098,66.876,77.1,68.078
80,20240313_220642_144,J20,5,6,1,40,b,,26,39,40,42,23649.674,115.446,37.008,30.037,12.632,1.06,38,24706.1,67.055,76.136,10.093,10.093,0,23473.443,59.591,64.466,22067.077,57.69,82.598,77.102
80,20240313_220642_144,J20,8,2,m_1,188,f_s,,172,188,189,190,24810.137,155.995,160.968,18.235,11.73,112.186,185,24362.78,138.487,118.045,13.708,9.288,55.163,23677.33,134.478,124.376,22792.899,133.514,93.595,71.088
80,20240313_220642_144,J20,10,7,1,702,f_s,,696,701,703,703,24257.982,6.991,167.007,11.942,11.942,0,701,26237.814,44.53,160.47,11.113,11.113,0,23585.66,41.492,164.463,22907.396,63.417,163.366,69.053
80,20240313_220642_144,J20,11,2,m_2,533,b,,530,532,534,534,25555.333,112.99,135.888,14.087,8.135,84.502,532,23222.724,108.486,93.973,20.218,10.958,94.025,22181.643,109.924,119.072,22218.553,92.147,84.218,71.898
33,escape_F20_entry_0001.nd2 - C=0-1_t1-2,F20,1,1,1,96,f_c,good FI escape,39,83,96,99,38146.925,47.905,96.051,14.112,6.045,0.755,82,36821.18,128.418,101.972,20.002,13.113,23.211,34392.732,110.335,107.605,33672.688,147.455,111.603,69.053
21,escape_F20_entry_0008.nd2 - C=0-1_t2-1,F20,1,1,1,84,b,short B,47,64,84,87,29490.466,85.867,78.537,15.022,10.002,51.99,62,30554.308,102.007,139.493,10.932,6.056,115.203,31436.423,82.515,113.259,30903.077,85.001,152.273,71.898
21,escape_F20_entry_0011.nd2 - C=0-1_t3-1,F20,1,1,1,54,b,"another bug inside; switch at 423/501 in t2 video, on_hole_start at 62/424, 141 frames ",-109,31,54,58,29771.438,118.019,50.494,11.734,6.945,169.481,29,24217.186,84.74,56.004,11.323,4.835,140.129,34836.855,84.504,49.574,31647.35,67.32,68.722,66.956
21,escape_F20_entry_0014.nd2 - C=0-1_t3-1,F20,1,1,1,91,b,short B,76,83,91,93,30144.257,68.464,81.062,15.904,9.046,92.101,82,35416.462,71.488,137.438,12.747,9.09,86.995,30680.993,71.264,108.901,32059.453,85.702,148.505,75.027
21,escape_F20_entry_0017.nd2 - C=0-1_t2-1,F20,1,1,1,73,f_s,"not clean; last switch 306/501 in t2-3, on_hole 387/501, 82 frames",-17,64,73,76,33287.746,138.988,97.006,18.054,18.054,0,64,33215.921,83.133,94.55,14.859,14.053,126.65,35827.424,93.587,96.445,31691.88,64.071,86.193,64.109
21,escape_F20_entry_0018.nd2 - C=0-1_t1-1,F20,1,1,1,88,b,short B,77,82,88,90,28225.865,120.56,111.067,9.377,7.061,129.301,80,32784.538,103,64.477,13.005,10.182,100.95,28951.482,111.82,95.182,30509.914,93.095,58.061,76.097
21,escape_F20_entry_0025.nd2 - C=0-1_t1-1,F20,1,1,1,75,b,short B; not clear B,31,35,75,78,26386.466,118.572,51.044,13.093,10.017,51.456,34,28244.75,80.528,77.02,8.192,4.973,142.973,30442.196,86.332,83.573,28501.534,62.033,92.967,66.143
21,escape_F20_entry_0035.nd2 - C=0-1_t3-1,F20,1,1,1,83,b,"another bug inside; no switch, backward entry in t2-1",/,36,83,86,30564.871,101.044,103.909,10.19,7.747,58.06,35,27901.726,92.958,155.043,10.027,7.873,70.049,36688.13,75.545,133.46,29379.04,75.143,154.258,66.143
21,escape_F20_entry_0041.nd2 - C=0-1_t2-1,F20,1,1,1,56,b,"not clean; last switch 210/501 in t2-1, on hole 296/591, 87 frames",-39,47,56,58,24436.132,109.936,171.801,8.035,6.021,25.15,46,26541.955,79.605,201.22,9.901,5.658,18.396,35539.884,91.574,194.473,29186.816,87.953,219.145,68.078
