LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_3314,7,7,23,0,0,0,0,0,0.8820239752531052,0.0,0.8820239752531052,0.8598011342556331,28.405317805785014,0.18180341923022003,0.0,1.9122877154985547,13.477559887443126,0.09531108824578484,0.67242407264712,2.9378263745375,0.9365217374718707,1.6866836126517142,0.9728385965993105,0.5097583967771523,0.9748047200291863,0.5097583967771523,37.538528972484826
Track_3315,8,8,26,0,0,0,0,0,1.0022999718785286,0.0,1.0022999718785286,4.702018189103462,31.737765927129594,0.7831801687627975,0.0,9.656733142548731,120.54369666976552,0.5712646064079829,2.57671460256958,23.985838986672665,0.8538461556801429,9.678943357215047,4.702018189103462,0.4857987091740134,4.691228495488087,0.4857987091740133,46.18803590848642
Track_3316,9,9,48,0,0,0,0,0,1.8843239471316338,0.0,1.8843239471316338,0.25304768973960823,41.834720229594815,0.4306134064276161,0.0,4.826528614786404,11.142460841423608,0.6726729477237349,4.561126109449311,2.30215120851792,1.0,9.094743450358093,0.6961650321518051,0.027823510483920778,0.13429096951445313,0.027823510483920778,52.20859999931873
Track_3317,10,10,3,0,0,0,0,0,0.08018399775028229,0.0,0.08018399775028229,3.3634623442970124,46.107142120314656,1.1270827617298902,0.0,42.68191283051627,84.39894723766486,0.9648784233676845,84.39894723766486,58.99679584057458,0.8933333357175192,3.422406402379861,3.3634623442970124,0.9827770138456203,41.94680283679384,0.9827770138456202,53.050580492387326
Track_3318,11,11,11,0,0,0,0,0,0.40091998875141144,0.0,0.40091998875141144,2.5220969042700707,44.778330136352395,1.3724096275689788,0.0,12.351460428178374,41.88323947235472,0.09322271294756493,1.3020598152912657,16.150089157937416,0.9463636333292181,4.951947375928777,2.540348402270417,0.5093141572000311,6.290773658167204,0.5093141572000311,43.36708568557301
Track_3319,12,12,9,0,0,0,0,0,0.32073599100112915,0.0,0.32073599100112915,1.6451043829159702,21.695322611061755,0.14402118243440165,0.0,5.951448334488221,40.58805821073839,0.0,0.9655014505801508,14.035068169477578,0.7400000029140048,1.908843679454099,1.7685284960290628,0.8618329518666744,5.1291542859939865,0.8618329518666744,7.566613033314434
Track_3320,13,13,25,0,0,0,0,0,0.9622079730033875,0.0,0.9622079730033875,0.059277379293814075,35.93801622647797,1.827854819791204,0.0,1.1401718621572312,3.0746751103053356,0.16616427643666296,1.120190423479008,0.7401239089279738,1.0,1.097082456361807,0.1353329134341106,0.054031835939107375,0.061605578998466054,0.05403183593910737,47.34803649966902
Track_3321,14,14,126,0,0,0,0,0,5.011499859392643,0.0,5.011499859392643,1.728168892726471,15.350275251237457,3.2003564542823297,0.0,3.141460474739061,46.95748911884797,0.0,1.404383528950906,7.433110305378171,0.9926984125659579,15.743428727442351,1.728168892726471,0.10977080803968083,0.34484065473682607,0.10977080803968084,47.43171805955413
Track_3322,15,15,57,0,0,0,0,0,2.245151937007904,0.0,2.245151937007904,4.003166020320521,57.02465104187999,2.706516799762685,0.0,3.9579836353561335,46.06745676428358,0.04477153914745864,0.7436278779793809,8.304538586634525,0.99982456157082,8.886274625565408,4.003166020320521,0.45048866808635357,1.783026776199168,0.4504886680863535,45.09711825495074
Track_3323,16,16,8,0,0,0,0,0,0.280643992125988,0.0,0.280643992125988,1.0973217143133929,14.03766414516202,1.8603398656803551,0.0,29.03469553276433,50.43360772400089,14.21845323085062,27.3519145810832,11.287535825752228,0.9275000020861626,8.14841286447757,3.2498582870747312,0.134666926254693,3.9100132021382383,0.13466692625469298,17.168390947495983
