LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,,
ID15388,15388,0,1.0,6.049785262102245,7.016174864335279,0.0,0.5495276898145676,26,3.4875770890607782,1,,32054.05249841872,32118.0,28957.0,34149.0,1.01354914E8,516.3802282322849,-0.9765532577533981,-5170.788310785579,0.011070305998015492,4.315986671220965E-4,3.5772396042469956,3.393165948855887,1.8071826048370274,1.0542483504094973,38.21180076423601,25.522756865813218,0.7371437744209408,0.9613394216133945,4.1288473915831645
ID15644,15644,0,1.0,6.266288187257297,6.994273809938407,0.0,1.5851760283112526,75,3.4453557399712267,1,,32089.037613488974,32139.0,28852.0,34776.0,9.8962592E7,543.2516567080148,-0.9765560720534109,-4920.989465649357,0.027558452391528515,-0.010374512936408899,3.4937053882853863,3.3522144899686075,-1.5679298951044836,1.0422081876742033,37.292200745844006,25.690468089823256,0.7100416797157214,0.9513813860163605,4.206907961517307
ID15901,15901,0,1.0,6.2856914747928645,7.1399584827117035,0.0,2.8321811705827713,134,3.513981835145806,1,,31945.095847642835,32044.0,29197.0,33084.0,1.02320142E8,477.9831155024477,-0.9766453612774685,-5589.659763950972,0.015072878118394474,-0.009681910234738545,3.5801479330275474,3.4380902751544054,-1.2393811481247257,1.0413187689979322,38.792600775852016,24.183807569402777,0.8335072927704511,0.9732847601700059,3.8828465715771943
ID15904,15904,0,1.0,6.288840518728863,7.1218433760617375,0.0,2.8533168509602547,135,3.520278562739462,1,,31976.76095741374,32064.0,28167.0,33643.0,1.0286924E8,490.5711189560691,-0.9766750423815697,-5458.731286124417,-0.009539915245987405,0.009163555776052643,3.5984347496071485,3.4520550846772924,-0.8532113044494333,1.0424036295305932,38.931750778635,23.707064922898617,0.8704788439484087,0.9678147089787937,3.799494513747009
ID15649,15649,0,1.0,6.210127124544896,6.993234459024596,0.0,1.606311708688736,76,3.478454165587646,1,,32041.615531508593,32106.0,26490.0,33631.0,1.00674756E8,550.5668201804611,-0.9765468170664584,-4846.4712779784995,0.017798887501937158,-0.005295671037653626,3.512301279488915,3.4245779749730008,-1.554503662909245,1.0256158000071836,38.01215076024302,27.01808205323371,0.6543698401009957,0.9579204146973629,4.3822111018955585
ID15906,15906,0,1.0,6.377672618053127,7.178834377628638,0.0,2.874452531337738,136,3.4944725386515545,1,,32026.946654040403,32104.0,28641.0,34452.0,1.01461367E8,526.9698030677747,-0.9766152666905527,-5076.34219536048,0.04825782346950135,-0.017371610808509325,3.5572086477702722,3.355974125687867,-1.1612376959320514,1.059963073178092,38.36305076726102,25.703330067666112,0.7296997779461685,0.9542513167795339,4.149854069897175
ID15397,15397,0,1.0,6.112844289960418,7.021975840327381,0.0,0.5706633701920509,27,3.4795612484182192,1,,32077.336617927525,32145.0,28022.0,34651.0,1.00915301E8,574.330797287377,-0.9765517324368028,-4652.117614121541,-0.009833834879483567,3.1741642087116273E-4,3.5977717244881164,3.3834242906277994,-0.9398205643560522,1.0633522181814639,38.03635076072702,25.77463571436536,0.7194881341383613,0.9567797899863038,4.1791996035113606
ID15913,15913,0,1.0,6.3110434687865595,7.165100238595906,0.0,2.8955882117152214,137,3.5621525074274745,1,,31948.42735820443,32105.0,27205.0,34918.0,1.05333965E8,862.0140411710594,-0.9766841604570129,-3105.047351063451,0.005832500746725811,-0.006343948808115742,3.622109143654765,3.528824589361574,-0.5134837645697927,1.0264350216143976,39.863450797269024,23.132007941993475,0.9361772635364105,0.9890423296307419,3.6637504711559306
ID15659,15659,0,1.0,6.189861195052082,6.945557652907945,0.0,1.6274473890662193,77,3.483433267538326,1,,31985.078805211313,32072.0,28412.0,33554.0,1.00657043E8,559.359128468908,-0.9766252044890493,-4778.2272288877575,0.006525265412395297,-8.780357149384268E-4,3.5522654835694834,3.4218217236375184,1.96538910355049,1.0381211443690581,38.12105076242101,23.117845768348722,0.8963549125010396,0.9842236800999687,3.7442507936381544
ID15406,15406,0,1.0,6.148095885921389,7.068254051966402,0.0,0.5917990505695343,28,3.4248933721953994,1,,32100.009192383455,32145.0,29103.0,35226.0,9.7776628E7,583.1350731557588,-0.9765409708295185,-4582.963757145492,0.014714196680078291,0.012034830701880245,3.535837564798327,3.247051938474569,2.407499741307216,1.088937790893307,36.850550737011,25.759640019098285,0.6978695794645455,0.9334865900383139,4.24343738485474
